#  raio       pgas        prad      epspp      epscno   epstot
  0.120D+00  0.139D+18  0.827D+14  0.134D+02  0.282D+00  0.137D+02
  0.115D+00  0.148D+18  0.844D+14  0.146D+02  0.333D+00  0.149D+02
  0.110D+00  0.158D+18  0.850D+14  0.156D+02  0.369D+00  0.160D+02
  0.105D+00  0.169D+18  0.861D+14  0.169D+02  0.420D+00  0.173D+02
  0.100D+00  0.182D+18  0.898D+14  0.188D+02  0.555D+00  0.193D+02
  0.950D-01  0.196D+18  0.975D+14  0.215D+02  0.889D+00  0.224D+02
  0.938D-01  0.203D+18  0.103D+15  0.233D+02  0.123D+01  0.246D+02
  0.912D-01  0.211D+18  0.110D+15  0.253D+02  0.170D+01  0.270D+02
  0.887D-01  0.219D+18  0.117D+15  0.275D+02  0.235D+01  0.299D+02
  0.862D-01  0.227D+18  0.124D+15  0.299D+02  0.327D+01  0.332D+02
  0.838D-01  0.236D+18  0.132D+15  0.326D+02  0.457D+01  0.372D+02
  0.813D-01  0.245D+18  0.141D+15  0.355D+02  0.639D+01  0.419D+02
  0.788D-01  0.255D+18  0.150D+15  0.387D+02  0.899D+01  0.477D+02
  0.762D-01  0.266D+18  0.160D+15  0.423D+02  0.127D+02  0.550D+02
  0.737D-01  0.277D+18  0.171D+15  0.463D+02  0.181D+02  0.643D+02
  0.712D-01  0.289D+18  0.184D+15  0.507D+02  0.258D+02  0.765D+02
  0.688D-01  0.302D+18  0.197D+15  0.557D+02  0.373D+02  0.929D+02
  0.663D-01  0.316D+18  0.212D+15  0.612D+02  0.542D+02  0.115D+03
  0.638D-01  0.331D+18  0.228D+15  0.676D+02  0.797D+02  0.147D+03
  0.612D-01  0.347D+18  0.247D+15  0.748D+02  0.118D+03  0.193D+03
  0.587D-01  0.365D+18  0.268D+15  0.830D+02  0.178D+03  0.261D+03
  0.563D-01  0.384D+18  0.291D+15  0.925D+02  0.272D+03  0.365D+03
  0.537D-01  0.406D+18  0.318D+15  0.104D+03  0.422D+03  0.526D+03
  0.512D-01  0.430D+18  0.349D+15  0.117D+03  0.667D+03  0.784D+03
  0.488D-01  0.456D+18  0.385D+15  0.132D+03  0.108D+04  0.121D+04
  0.462D-01  0.486D+18  0.427D+15  0.150D+03  0.178D+04  0.193D+04
  0.437D-01  0.520D+18  0.476D+15  0.172D+03  0.304D+04  0.321D+04
  0.413D-01  0.559D+18  0.536D+15  0.199D+03  0.534D+04  0.553D+04
  0.387D-01  0.604D+18  0.608D+15  0.232D+03  0.973D+04  0.996D+04
  0.362D-01  0.657D+18  0.698D+15  0.274D+03  0.185D+05  0.188D+05
  0.338D-01  0.720D+18  0.811D+15  0.329D+03  0.371D+05  0.374D+05
  0.312D-01  0.796D+18  0.956D+15  0.399D+03  0.789D+05  0.793D+05
  0.288D-01  0.889D+18  0.115D+16  0.495D+03  0.180D+06  0.180D+06
  0.262D-01  0.101D+19  0.141D+16  0.626D+03  0.447D+06  0.447D+06
  0.238D-01  0.116D+19  0.178D+16  0.815D+03  0.123D+07  0.123D+07
  0.213D-01  0.136D+19  0.232D+16  0.110D+04  0.384D+07  0.384D+07
  0.187D-01  0.163D+19  0.317D+16  0.154D+04  0.141D+08  0.141D+08
  0.163D-01  0.203D+19  0.459D+16  0.228D+04  0.632D+08  0.632D+08
  0.138D-01  0.264D+19  0.722D+16  0.362D+04  0.371D+09  0.371D+09
  0.112D-01  0.366D+19  0.128D+17  0.634D+04  0.314D+10  0.314D+10
  0.875D-02  0.556D+19  0.271D+17  0.127D+05  0.449D+11  0.449D+11
  0.625D-02  0.981D+19  0.782D+17  0.316D+05  0.144D+13  0.144D+13
  0.375D-02  0.228D+20  0.421D+18  0.113D+06  0.188D+15  0.188D+15
  0.125D-02  0.103D+21  0.133D+20  0.871D+06  0.526D+18  0.526D+18
