#  raio      kapbf      kapff      sigmae      kaptot     densidade
  0.395D+00  0.622D+01  0.822D+00  0.341D+00  0.739D+01   0.761D+01
  0.390D+00  0.617D+01  0.815D+00  0.341D+00  0.733D+01   0.795D+01
  0.385D+00  0.612D+01  0.808D+00  0.341D+00  0.727D+01   0.829D+01
  0.380D+00  0.606D+01  0.801D+00  0.341D+00  0.720D+01   0.865D+01
  0.375D+00  0.601D+01  0.793D+00  0.341D+00  0.714D+01   0.903D+01
  0.370D+00  0.595D+01  0.786D+00  0.341D+00  0.708D+01   0.942D+01
  0.365D+00  0.590D+01  0.779D+00  0.341D+00  0.702D+01   0.983D+01
  0.360D+00  0.584D+01  0.771D+00  0.341D+00  0.696D+01   0.103D+02
  0.355D+00  0.579D+01  0.764D+00  0.341D+00  0.689D+01   0.107D+02
  0.350D+00  0.573D+01  0.757D+00  0.341D+00  0.683D+01   0.112D+02
  0.345D+00  0.567D+01  0.749D+00  0.341D+00  0.676D+01   0.116D+02
  0.340D+00  0.562D+01  0.741D+00  0.341D+00  0.670D+01   0.121D+02
  0.335D+00  0.556D+01  0.734D+00  0.341D+00  0.663D+01   0.126D+02
  0.330D+00  0.550D+01  0.726D+00  0.341D+00  0.657D+01   0.132D+02
  0.325D+00  0.544D+01  0.718D+00  0.341D+00  0.650D+01   0.137D+02
  0.320D+00  0.538D+01  0.711D+00  0.341D+00  0.643D+01   0.143D+02
  0.315D+00  0.532D+01  0.703D+00  0.341D+00  0.637D+01   0.149D+02
  0.310D+00  0.526D+01  0.695D+00  0.341D+00  0.630D+01   0.156D+02
  0.305D+00  0.520D+01  0.687D+00  0.341D+00  0.623D+01   0.162D+02
  0.300D+00  0.514D+01  0.679D+00  0.341D+00  0.616D+01   0.169D+02
  0.295D+00  0.508D+01  0.671D+00  0.341D+00  0.610D+01   0.176D+02
  0.290D+00  0.502D+01  0.663D+00  0.341D+00  0.603D+01   0.183D+02
  0.285D+00  0.496D+01  0.655D+00  0.341D+00  0.596D+01   0.191D+02
  0.280D+00  0.490D+01  0.647D+00  0.341D+00  0.589D+01   0.199D+02
  0.275D+00  0.484D+01  0.639D+00  0.341D+00  0.582D+01   0.207D+02
  0.270D+00  0.478D+01  0.631D+00  0.341D+00  0.575D+01   0.215D+02
  0.265D+00  0.472D+01  0.623D+00  0.341D+00  0.568D+01   0.224D+02
  0.260D+00  0.466D+01  0.615D+00  0.341D+00  0.562D+01   0.233D+02
  0.255D+00  0.460D+01  0.607D+00  0.341D+00  0.555D+01   0.243D+02
  0.250D+00  0.454D+01  0.599D+00  0.341D+00  0.548D+01   0.253D+02
  0.245D+00  0.448D+01  0.592D+00  0.341D+00  0.541D+01   0.263D+02
  0.240D+00  0.442D+01  0.584D+00  0.341D+00  0.535D+01   0.274D+02
  0.235D+00  0.436D+01  0.576D+00  0.341D+00  0.528D+01   0.285D+02
  0.230D+00  0.431D+01  0.569D+00  0.341D+00  0.522D+01   0.296D+02
